,y,SRCH_EFRT,PRDV_CNT,CAT_CNT,EVNT_CNT,SAL_PRD,day_off,SEX_CD,AVG_SAL_AMT,AGE_30,AGE_50,AGE_60,AGE_1020
88891,0,15,8,1,15,23250,1,1,19926.623376623374,0,0,1,0
88892,1,54,12,0,54,132000,0,1,19926.623376623374,0,0,1,0
88893,0,8,3,1,8,56550,1,1,19926.623376623374,0,0,1,0
88894,1,7,1,0,7,0,0,1,19926.623376623374,0,0,1,0
88895,1,8,2,0,8,0,0,1,19926.623376623374,0,0,1,0
88896,1,5,0,-1,5,0,0,1,19926.623376623374,0,0,1,0
88897,0,7,2,1,7,40000,1,1,19926.623376623374,0,0,1,0
88898,0,35,12,2,35,64800,0,1,7593.75,0,0,0,0
88899,0,4,1,0,4,0,1,1,35833.333333333336,1,0,0,0
88900,0,22,3,1,22,57600,1,1,6750.0,0,0,0,1
88901,0,4,1,0,4,0,1,1,12500.0,0,0,1,0
88902,0,106,21,1,106,306750,0,0,12215.0,1,0,0,0
88903,0,75,25,1,75,315300,0,1,8504.74358974359,0,1,0,0
88904,0,9,1,0,9,0,1,1,16242.5,1,0,0,0
88905,1,78,18,1,78,811840,0,1,16242.5,1,0,0,0
88906,0,15,3,1,15,65800,0,1,16242.5,1,0,0,0
88907,0,4,2,1,4,0,0,1,5850.0,0,0,0,0
88908,0,65,17,2,65,437750,1,1,26657.0,1,0,0,0
88909,1,4,1,0,4,0,0,0,15852.5,1,0,0,0
88910,0,12,4,1,12,24650,1,0,15852.5,1,0,0,0
88911,1,11,3,1,11,49300,0,0,15852.5,1,0,0,0
88912,1,7,2,0,7,0,0,0,15852.5,1,0,0,0
88913,1,11,3,0,11,0,1,0,15852.5,1,0,0,0
88914,1,6,2,0,6,0,1,0,15852.5,1,0,0,0
88915,1,13,3,1,13,21000,1,0,15852.5,1,0,0,0
88916,1,4,1,0,4,0,1,0,15852.5,1,0,0,0
88917,1,5,2,0,5,0,0,0,15852.5,1,0,0,0
88918,1,118,29,2,118,88300,0,0,15852.5,1,0,0,0
88919,1,14,4,0,14,0,1,0,15852.5,1,0,0,0
88920,1,19,4,0,19,0,1,0,15852.5,1,0,0,0
88921,1,9,3,1,9,49300,1,0,15852.5,1,0,0,0
88922,1,7,2,0,7,0,1,0,15852.5,1,0,0,0
88923,1,7,2,0,7,0,0,0,15852.5,1,0,0,0
88924,1,9,2,0,9,0,0,0,15852.5,1,0,0,0
88925,0,29,11,2,29,169300,0,0,15852.5,1,0,0,0
88926,1,15,5,1,15,73950,1,0,15852.5,1,0,0,0
88927,0,10,4,1,10,24650,1,0,15852.5,1,0,0,0
